Date;Séquence Début;Séquence Fin;CA Total TTC (€);Base HTVA 21% (€);TVA 21% (€);Base HTVA 6% (€);TVA 6% (€);Bancontact/Visa (€);Espèces (€);Autres Paiements (€);Remboursements (€);Écart de Caisse (€);Statut
2026-07-27;TCK-2026-0001;TCK-2026-0001;24,9;20,58;4,32;0,0;0,0;0,0;24,9;0,0;0,0;0,0;Juste
TOTAL MENSUEL;;;24,9;20,58;4,32;0,0;0,0;0,0;24,9;0,0;0,0;0,0;
